./seq 1000
Sequential= 0.02346
./par 1000 1
1 thread(s)= 0.02308
./par 1000 2
2 thread(s)= 0.01159
./par 1000 4
4 thread(s)= 0.00589
./par 1000 6
6 thread(s)= 0.00800
./par 1000 8
8 thread(s)= 0.00604
./par 1000 10
10 thread(s)= 0.00758
./par 1000 12
12 thread(s)= 0.00643
./par 1000 14
14 thread(s)= 0.00721
./par 1000 16
16 thread(s)= 0.00614
