./seq 100
Sequential= 0.00025
./par 100 1
1 thread(s)= 0.00023
./par 100 2
2 thread(s)= 0.00013
./par 100 4
4 thread(s)= 0.00006
./par 100 6
6 thread(s)= 0.00022
./par 100 8
8 thread(s)= 0.00038
./par 100 10
10 thread(s)= 0.00022
./par 100 12
12 thread(s)= 0.00025
./par 100 14
14 thread(s)= 0.00024
./par 100 16
16 thread(s)= 0.00029
