./seq 10000
Sequential= 2.33179
./par 10000 1
1 thread(s)= 2.37871
./par 10000 2
2 thread(s)= 1.19818
./par 10000 4
4 thread(s)= 0.63279
./par 10000 6
6 thread(s)= 0.69878
./par 10000 8
8 thread(s)= 0.60920
./par 10000 10
10 thread(s)= 0.71748
./par 10000 12
12 thread(s)= 0.60824
./par 10000 14
14 thread(s)= 0.63284
./par 10000 16
16 thread(s)= 0.60571
